name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Trae Young,Atlanta Hawks,PG,0,1,22,2021,35380000,63,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,58.9,32,5.4,-3.2,1.6,6.5,-2.4,4.1,6,-3.8,2.2,5.5
John Collins,Atlanta Hawks,PF,0,1,23,2021,25000000,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,1.3,0.5,1,3.1,64.5,21.4,1.3,1,2.3,2.9,0.3,3.2,1.7,0.9,2.6,5
Danilo Gallinari,Atlanta Hawks,PF,1,0,31,2020,20475000,62,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7,0.1,1.2,61.2,24.2,3.5,0,3.5,6.4,-5,1.3,4.3,-1.1,3.2,5.6
Clint Capela,Atlanta Hawks,C,0,1,26,2021,22940640,63,30.1,15.2,6.6,11,59.4,0,0,0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,1.2,0.7,2,2.3,60.1,19.3,0.8,5.1,5.9,3.1,3.9,7,1.3,5.1,6.4,8.8
Bogdan Bogdanovic,Atlanta Hawks,SG,1,0,27,2020,18000000,61,28.9,15.1,5.5,12.6,44,2.7,7.2,37.2,1.4,1.9,74.1,0.4,3,3.4,3.4,1.7,1,0.2,2.2,56.5,22.1,1.9,-0.4,1.5,0.1,-0.3,-0.2,1.6,-0.4,1.2,3.6
Kevin Huerter,Atlanta Hawks,SG,0,1,22,2021,16250000,29,30.8,11.9,4.6,10.6,43.2,2,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.1,1.2,0.3,2.4,54.1,16.7,0,-0.1,-0.1,-0.6,-0.4,-1,-0.2,-0.1,-0.3,2.7
Delon Wright,Atlanta Hawks,PG,1,0,29,2020,8000000,73,21.5,6.9,2.6,5.6,46.2,0.6,1.7,37,1.1,1.4,77,1,2.9,3.8,3.3,1,1.2,0.3,1.3,55.4,14,1,0.4,1.4,-1.8,0.5,-1.4,0.4,0.5,0.9,2.9
Lou Williams,Atlanta Hawks,SG,1,0,35,2021,5000000,66,21.6,11.3,4,9.8,41,1,2.6,39.9,2.3,2.6,86.7,0.3,1.8,2.1,3.4,1.6,0.7,0.1,0.9,51.9,24.4,0.9,-3.7,-2.8,-1.3,-1.8,-3.1,0.4,-3.5,-3.1,-0.3
Gorgui Dieng,Atlanta Hawks,C,1,0,32,2021,4000000,38,14.5,6.8,2.2,4.3,52.1,0.8,1.8,42.9,1.5,1.8,86.6,1.1,2.6,3.7,1.3,0.8,0.7,0.4,1.5,67,16.9,1.4,-0.8,0.6,-1.3,-1.7,-3,0.9,-1.1,-0.1,0.7
Timothe Luwawu-Cabarrot,Atlanta Hawks,SF,1,0,26,2021,1939350,58,18.1,6.4,2.2,6.1,36.5,1.3,4.1,31.4,0.6,0.7,81.4,0.5,1.7,2.2,1.2,0.7,0.6,0.1,1.7,49.3,16.5,-1.5,-1,-2.5,-1.5,-0.6,2.1,-1.7,-1,-2.6,0.1
Aaron Holiday,Atlanta Hawks,PG,1,0,25,2022,1968175,63,16.2,6.3,2.4,5.4,44.7,0.6,1.6,37.9,0.9,1.1,86.8,0.4,1.6,1.9,2.4,1.1,0.7,0.1,1.5,54.4,18.2,0.2,-0.1,0.1,-2,0.7,-1.3,-0.2,0.1,-0.1,1.4
